feature,stem,level,label,tier
Frustrated_In_Efforts_to_Get_Service_Never,c4q04,Never,Frustrated In Efforts to Get Service,care-seeking
Frustrated_In_Efforts_to_Get_Service_Sometimes,c4q04,Sometimes,Frustrated In Efforts to Get Service,care-seeking
Frustrated_In_Efforts_to_Get_Service_Usually,c4q04,Usually,Frustrated In Efforts to Get Service,care-seeking
Health_Insurance___Benefits_Cover_Services_Always,k3q20,Always,Health Insurance - Benefits Cover Services,care-seeking
Health_Insurance___Benefits_Cover_Services_Sometimes,k3q20,Sometimes,Health Insurance - Benefits Cover Services,care-seeking
Health_Insurance___Benefits_Cover_Services_Usually,k3q20,Usually,Health Insurance - Benefits Cover Services,care-seeking
Health_Insurance___Allow_to_See_Provider_Always,k3q22,Always,Health Insurance - Allow to See Provider,care-seeking
Health_Insurance___Allow_to_See_Provider_Sometimes,k3q22,Sometimes,Health Insurance - Allow to See Provider,care-seeking
Health_Insurance___Allow_to_See_Provider_Usually,k3q22,Usually,Health Insurance - Allow to See Provider,care-seeking
Need_a_Referral_Yes,k5q10,Yes,Need a Referral,care-seeking
Health_Insurance___Cover_Mental_Behavioral_Needs_Always,menbevcov,Always,Health Insurance - Cover Mental Behavioral Needs,care-seeking
Health_Insurance___Cover_Mental_Behavioral_Needs_Sometimes,menbevcov,Sometimes,Health Insurance - Cover Mental Behavioral Needs,care-seeking
Health_Insurance___Cover_Mental_Behavioral_Needs_Usually,menbevcov,Usually,Health Insurance - Cover Mental Behavioral Needs,care-seeking
Adult_1___Active_Duty_Never_served_in_the_military,a1_active,Never_served_in_the_military,Adult 1 - Active Duty,circumstance
Adult_1___Active_Duty_Now_on_active_duty,a1_active,Now_on_active_duty,Adult 1 - Active Duty,circumstance
Adult_1___Active_Duty_Only_on_active_duty_for_training_in_the_Reserves_or_National_Guard,a1_active,Only_on_active_duty_for_training_in_the_Reserves_or_National_Guard,Adult 1 - Active Duty,circumstance
Adult_1___Age_in_Years,a1_age,"",Adult 1 - Age in Years,circumstance
Adult_1___Where_Born_In_the_United_States,a1_born,In_the_United_States,Adult 1 - Where Born,circumstance
Adult_1___Highest_Completed_Year_of_School_8th_grade_or_less,a1_grade,8th_grade_or_less,Adult 1 - Highest Completed Year of School,circumstance
Adult_1___Highest_Completed_Year_of_School_9th_12th_grade__No_diploma,a1_grade,9th_12th_grade__No_diploma,Adult 1 - Highest Completed Year of School,circumstance
Adult_1___Highest_Completed_Year_of_School_Associate_Degree__AA__AS_,a1_grade,Associate_Degree__AA__AS,Adult 1 - Highest Completed Year of School,circumstance
Adult_1___Highest_Completed_Year_of_School_Bachelors_Degree__BA__BS__AB_,a1_grade,Bachelors_Degree__BA__BS__AB,Adult 1 - Highest Completed Year of School,circumstance
Adult_1___Highest_Completed_Year_of_School_Completed_a_vocational__trade__or_business_school_program,a1_grade,Completed_a_vocational__trade__or_business_school_program,Adult 1 - Highest Completed Year of School,circumstance
