feature,stem,level,label,tier
c4q04=Never,c4q04,Never,Frustrated In Efforts to Get Service,care-seeking
c4q04=Sometimes,c4q04,Sometimes,Frustrated In Efforts to Get Service,care-seeking
c4q04=Usually,c4q04,Usually,Frustrated In Efforts to Get Service,care-seeking
k5q10=Yes,k5q10,Yes,Need a Referral,care-seeking
k5q11=Not difficult,k5q11,Not difficult,Need a Referral - Problem,care-seeking
k5q11=Somewhat difficult,k5q11,Somewhat difficult,Need a Referral - Problem,care-seeking
k5q11=Very difficult,k5q11,Very difficult,Need a Referral - Problem,care-seeking
k5q20_r=No,k5q20_r,No,Arrange Or Coordinate Care Among Doctors,care-seeking
k5q20_r=Yes,k5q20_r,Yes,Arrange Or Coordinate Care Among Doctors,care-seeking
k5q21=Yes,k5q21,Yes,Arrange Or Coordinate Care Extra Help,care-seeking
a1_age,a1_age,"",Adult 1 - Age in Years,circumstance
a1_born=In the United States,a1_born,In the United States,Adult 1 - Where Born,circumstance
a1_grade=8th grade or less,a1_grade,8th grade or less,Adult 1 - Highest Completed Year of School,circumstance
a1_grade=9th-12th grade; No diploma,a1_grade,9th-12th grade; No diploma,Adult 1 - Highest Completed Year of School,circumstance
"a1_grade=Associate Degree (AA, AS)",a1_grade,"Associate Degree (AA, AS)",Adult 1 - Highest Completed Year of School,circumstance
"a1_grade=Bachelors Degree (BA, BS, AB)",a1_grade,"Bachelors Degree (BA, BS, AB)",Adult 1 - Highest Completed Year of School,circumstance
"a1_grade=Completed a vocational, trade, or business school program",a1_grade,"Completed a vocational, trade, or business school program",Adult 1 - Highest Completed Year of School,circumstance
a1_grade=High School Graduate or GED Completed,a1_grade,High School Graduate or GED Completed,Adult 1 - Highest Completed Year of School,circumstance
"a1_grade=Masters Degree (MA, MS, MSW, MBA)",a1_grade,"Masters Degree (MA, MS, MSW, MBA)",Adult 1 - Highest Completed Year of School,circumstance
"a1_grade=Some College Credit, but No Degree",a1_grade,"Some College Credit, but No Degree",Adult 1 - Highest Completed Year of School,circumstance
a1_marital=Divorced,a1_marital,Divorced,Adult 1 - Marital Status,circumstance
a1_marital=Married,a1_marital,Married,Adult 1 - Marital Status,circumstance
a1_marital=Never Married,a1_marital,Never Married,Adult 1 - Marital Status,circumstance
"a1_marital=Not married, but living with a partner",a1_marital,"Not married, but living with a partner",Adult 1 - Marital Status,circumstance
a1_marital=Separated,a1_marital,Separated,Adult 1 - Marital Status,circumstance
a1_menthealth=Excellent,a1_menthealth,Excellent,Adult 1 - Mental or Emotional Health,circumstance
a1_menthealth=Fair,a1_menthealth,Fair,Adult 1 - Mental or Emotional Health,circumstance
a1_menthealth=Good,a1_menthealth,Good,Adult 1 - Mental or Emotional Health,circumstance
a1_menthealth=Very Good,a1_menthealth,Very Good,Adult 1 - Mental or Emotional Health,circumstance
a1_physhealth=Excellent,a1_physhealth,Excellent,Adult 1 - Physical Health,circumstance
a1_physhealth=Fair,a1_physhealth,Fair,Adult 1 - Physical Health,circumstance
a1_physhealth=Good,a1_physhealth,Good,Adult 1 - Physical Health,circumstance
a1_physhealth=Very Good,a1_physhealth,Very Good,Adult 1 - Physical Health,circumstance
a1_relation=Biological or Adoptive Parent,a1_relation,Biological or Adoptive Parent,Adult 1 - How Related to Child,circumstance
a1_relation=Foster Parent,a1_relation,Foster Parent,Adult 1 - How Related to Child,circumstance
a1_relation=Grandparent,a1_relation,Grandparent,Adult 1 - How Related to Child,circumstance
a1_relation=Other: Relative,a1_relation,Other: Relative,Adult 1 - How Related to Child,circumstance
a1_relation=Step-parent,a1_relation,Step-parent,Adult 1 - How Related to Child,circumstance
a1_sex=Male,a1_sex,Male,Adult 1 - Sex,circumstance
a2_relation=Biological or Adoptive Parent,a2_relation,Biological or Adoptive Parent,Adult 2 - How Related to Child,circumstance
a2_relation=Foster Parent,a2_relation,Foster Parent,Adult 2 - How Related to Child,circumstance
a2_relation=Grandparent,a2_relation,Grandparent,Adult 2 - How Related to Child,circumstance
a2_relation=Other: Non-Relative,a2_relation,Other: Non-Relative,Adult 2 - How Related to Child,circumstance
a2_relation=Other: Relative,a2_relation,Other: Relative,Adult 2 - How Related to Child,circumstance
a2_relation=Step-parent,a2_relation,Step-parent,Adult 2 - How Related to Child,circumstance
ace10=Yes,ace10,Yes,Child Experienced - Treated Unfairly Because of Race,circumstance
ace3=Yes,ace3,Yes,Child Experienced - Parent or Guardian Divorced,circumstance
ace4=Yes,ace4,Yes,Child Experienced - Parent or Guardian Died,circumstance
ace5=Yes,ace5,Yes,Child Experienced - Parent or Guardian Time in Jail,circumstance
ace6=Yes,ace6,Yes,"Child Experienced - Adults Slap, Hit, Kick, Punch Others",circumstance
ace7=Yes,ace7,Yes,Child Experienced - Victim of Violence,circumstance
ace8=Yes,ace8,Yes,Child Experienced - Lived with Mentally Ill,circumstance
agepos4=Oldest child,agepos4,Oldest child,Birth Order of Selected Children in Household,circumstance
agepos4=Only child,agepos4,Only child,Birth Order of Selected Children in Household,circumstance
agepos4=Second oldest child,agepos4,Second oldest child,Birth Order of Selected Children in Household,circumstance
agepos4=Third oldest child,agepos4,Third oldest child,Birth Order of Selected Children in Household,circumstance
allergies=Yes,allergies,Yes,Allergies,circumstance
arrangehc=1-4 hours per week,arrangehc,1-4 hours per week,Hours Spent Arranging Health Medical Care,circumstance
arrangehc=11 or more hours per week,arrangehc,11 or more hours per week,Hours Spent Arranging Health Medical Care,circumstance
arrangehc=5-10 hours per week,arrangehc,5-10 hours per week,Hours Spent Arranging Health Medical Care,circumstance
arrangehc=Less than 1 hour per week,arrangehc,Less than 1 hour per week,Hours Spent Arranging Health Medical Care,circumstance
athomehc=1-4 hours per week,athomehc,1-4 hours per week,Hours Spent Providing Home Health Care,circumstance
athomehc=11 or more hours per week,athomehc,11 or more hours per week,Hours Spent Providing Home Health Care,circumstance
athomehc=5-10 hours per week,athomehc,5-10 hours per week,Hours Spent Providing Home Health Care,circumstance
athomehc=Less than 1 hour per week,athomehc,Less than 1 hour per week,Hours Spent Providing Home Health Care,circumstance
autismmed=Yes,autismmed,Yes,Autism ASD - Medication Currently,circumstance
autismtreat=Yes,autismtreat,Yes,Autism ASD - Behavioral Treatment,circumstance
bedtime=Always,bedtime,Always,How Often - Go to Bed at Same Time,circumstance
bedtime=Rarely,bedtime,Rarely,How Often - Go to Bed at Same Time,circumstance
bedtime=Sometimes,bedtime,Sometimes,How Often - Go to Bed at Same Time,circumstance
bedtime=Usually,bedtime,Usually,How Often - Go to Bed at Same Time,circumstance
bestforchild=Always,bestforchild,Always,How Often - Work to Decide Together Treatment,circumstance
bestforchild=Sometimes,bestforchild,Sometimes,How Often - Work to Decide Together Treatment,circumstance
bestforchild=Usually,bestforchild,Usually,How Often - Work to Decide Together Treatment,circumstance
"birthwt=Low birth weight (less than 2,500g)",birthwt,"Low birth weight (less than 2,500g)",Birth Weight Status,circumstance
"birthwt=Very low birth weight (less than 1,500g)",birthwt,"Very low birth weight (less than 1,500g)",Birth Weight Status,circumstance
blindness=Yes,blindness,Yes,Blindness,circumstance
blood=Yes,blood,Yes,Blood Disorder,circumstance
bornusa=Yes,bornusa,Yes,Born in the United States,circumstance
cuthours=Yes,cuthours,Yes,Past 12 Months -Cut Hours because of Health Conditions,circumstance
cystfib=Yes,cystfib,Yes,Cystic Fibrosis,circumstance
dentistvisit=No preventive visits in past 12 months,dentistvisit,No preventive visits in past 12 months,Dental Provider Visit - How Many Visits,circumstance
"dentistvisit=Yes, 1 visit",dentistvisit,"Yes, 1 visit",Dental Provider Visit - How Many Visits,circumstance
diabetes=Yes,diabetes,Yes,Diabetes,circumstance
discussopt=Always,discussopt,Always,How Often - Discussed Range of Options,circumstance
discussopt=Sometimes,discussopt,Sometimes,How Often - Discussed Range of Options,circumstance
discussopt=Usually,discussopt,Usually,How Often - Discussed Range of Options,circumstance
downsyn=Yes,downsyn,Yes,Down Syndrome,circumstance
eyedoctor=Yes,eyedoctor,Yes,Visition Tested by Eye Doctor,circumstance
famcount,famcount,"",Number of People That Are Family Members,circumstance
family=Single mother,family,Single mother,Family Structure,circumstance
"family=Two biogical/adoptive parents, currently married",family,"Two biogical/adoptive parents, currently married",Family Structure,circumstance
"family=Two biogical/adoptive parents, not currently married",family,"Two biogical/adoptive parents, not currently married",Family Structure,circumstance
"family=Two parents (at least one not biological/adoptive), currently married",family,"Two parents (at least one not biological/adoptive), currently married",Family Structure,circumstance
"family=Two parents (at least one not biological/adoptive), not currently married",family,"Two parents (at least one not biological/adoptive), not currently married",Family Structure,circumstance
foodsit=Sometimes we could not afford enough to eat.,foodsit,Sometimes we could not afford enough to eat.,Food Situation In Household - Past 12 Months,circumstance
foodsit=We could always afford enough to eat but not always the kinds of food we should eat.,foodsit,We could always afford enough to eat but not always the kinds of food we should eat.,Food Situation In Household - Past 12 Months,circumstance
foodsit=We could always afford to eat good nutritious meals.,foodsit,We could always afford to eat good nutritious meals.,Food Situation In Household - Past 12 Months,circumstance
fpl_i1,fpl_i1,"","Family Poverty Ratio, First Implicate",circumstance
goforhelp=Definitely agree,goforhelp,Definitely agree,Know Where to Go For Help,circumstance
goforhelp=Somewhat agree,goforhelp,Somewhat agree,Know Where to Go For Help,circumstance
goforhelp=Somewhat disagree,goforhelp,Somewhat disagree,Know Where to Go For Help,circumstance
hcability=Never,hcability,Never,Health Affected Ability - How Often,circumstance
hcability=Sometimes,hcability,Sometimes,Health Affected Ability - How Often,circumstance
hcability=This child does not have any health conditions,hcability,This child does not have any health conditions,Health Affected Ability - How Often,circumstance
hcability=Usually,hcability,Usually,Health Affected Ability - How Often,circumstance
headache=Yes,headache,Yes,Headaches,circumstance
heart=Yes,heart,Yes,Heart Condition,circumstance
hhcount,hhcount,"",Number of People Living at Address,circumstance
hhlanguage=English,hhlanguage,English,Primary HH Language,circumstance
hhlanguage=Spanish,hhlanguage,Spanish,Primary HH Language,circumstance
"higrade=High school (including vocational, trade, or business school)",higrade,"High school (including vocational, trade, or business school)",Highest Level of Education among Reported Adults,circumstance
higrade=Less than high school,higrade,Less than high school,Highest Level of Education among Reported Adults,circumstance
"higrade_tvis=High school (including vocational, trade, or business school)",higrade_tvis,"High school (including vocational, trade, or business school)","Highest Level of Education among Reported Adults, Detail",circumstance
higrade_tvis=Less than high school,higrade_tvis,Less than high school,"Highest Level of Education among Reported Adults, Detail",circumstance
higrade_tvis=Some college or Associate Degree,higrade_tvis,Some college or Associate Degree,"Highest Level of Education among Reported Adults, Detail",circumstance
hospitaler=1 time,hospitaler,1 time,Hospital Emergency Room Visits,circumstance
hospitaler=None,hospitaler,None,Hospital Emergency Room Visits,circumstance
house_gen=1st generation household [Child is born outside the United States and all reported parents are born outside the United States. At least one parent must be reported as born outside the United States.],house_gen,1st generation household [Child is born outside the United States and all reported parents are born outside the United States. At least one parent must be reported as born outside the United States.],Parental Nativity,circumstance
"house_gen=2nd generation household [Child is born in the United States and at least one parent is born outside the United States OR child is born outside the United States, one parent is born in the United States and one parent is born outside the United States.]",house_gen,"2nd generation household [Child is born in the United States and at least one parent is born outside the United States OR child is born outside the United States, one parent is born in the United States and one parent is born outside the United States.]",Parental Nativity,circumstance
house_gen=3rd+ generation [All parents in the household are born in the United States],house_gen,3rd+ generation [All parents in the household are born in the United States],Parental Nativity,circumstance
howmuch=$0 (No medical or health-related expenses),howmuch,$0 (No medical or health-related expenses),How Much Medical Health Care - Past 12 Months,circumstance
"howmuch=$1,000-$5,000",howmuch,"$1,000-$5,000",How Much Medical Health Care - Past 12 Months,circumstance
howmuch=$1-$249,howmuch,$1-$249,How Much Medical Health Care - Past 12 Months,circumstance
howmuch=$250-$499,howmuch,$250-$499,How Much Medical Health Care - Past 12 Months,circumstance
howmuch=$500-$999,howmuch,$500-$999,How Much Medical Health Care - Past 12 Months,circumstance
k10q11=Yes,k10q11,Yes,Neighborhood - Sidewalks or Walking Paths,circumstance
k10q12=Yes,k10q12,Yes,Neighborhood - Park or Playground,circumstance
k10q13=Yes,k10q13,Yes,Neighborhood - Recreation Center,circumstance
k10q14=Yes,k10q14,Yes,Neighborhood - Library or Bookmobile,circumstance
k10q20=Yes,k10q20,Yes,Neighborhood - Litter or Garbage,circumstance
k10q22=Yes,k10q22,Yes,Neighborhood - Poorly Kept or Rundown Housing,circumstance
k10q23=Yes,k10q23,Yes,Neighborhood - Vandalism,circumstance
k10q30=Definitely agree,k10q30,Definitely agree,People In Neighborhood Help Each Other Out,circumstance
k10q30=Somewhat agree,k10q30,Somewhat agree,People In Neighborhood Help Each Other Out,circumstance
k10q30=Somewhat disagree,k10q30,Somewhat disagree,People In Neighborhood Help Each Other Out,circumstance
k10q31=Definitely agree,k10q31,Definitely agree,Watch Out for Other's Children,circumstance
k10q31=Somewhat agree,k10q31,Somewhat agree,Watch Out for Other's Children,circumstance
k10q31=Somewhat disagree,k10q31,Somewhat disagree,Watch Out for Other's Children,circumstance
k10q40_r=Definitely agree,k10q40_r,Definitely agree,Child is Safe In Neighborhood,circumstance
k10q40_r=Somewhat agree,k10q40_r,Somewhat agree,Child is Safe In Neighborhood,circumstance
k10q40_r=Somewhat disagree,k10q40_r,Somewhat disagree,Child is Safe In Neighborhood,circumstance
k11q43r,k11q43r,"",How Many Times Moved to New Address,circumstance
k11q60=Yes,k11q60,Yes,Cash Assistance from Government - Past 12 Months,circumstance
k11q61=Yes,k11q61,Yes,Food Stamps - Past 12 Months,circumstance
k2q01=Excellent,k2q01,Excellent,Health Description,circumstance
k2q01=Fair,k2q01,Fair,Health Description,circumstance
k2q01=Good,k2q01,Good,Health Description,circumstance
k2q01=Very Good,k2q01,Very Good,Health Description,circumstance
k2q01_d=Excellent,k2q01_d,Excellent,Teeth Description,circumstance
k2q01_d=Fair,k2q01_d,Fair,Teeth Description,circumstance
