field,value
drawn_at_utc,2026-08-12T19:44:21+00:00
matrix_key,fixture
outcome,ed_any
outcome_label,Emergency department use: one or more visits
matrix,/Users/chrisreger/Documents/NAU/Grad/Research/ADSI/reproduce-soak-nsch/data_Classif/NSCH_autism.csv
matrix_md5,8c1e5a82e75d9e74eaa94a2dbe6c8a36
rows,46010
positives,6917
n_folds,10
seed,1
stratified_on,"(survey_year, outcome)"
dropped_from_features,"Hospital_Emergency_Room_Visits_None, Hospital_Emergency_Room_Visits_1_time"
python,3.13.13
nsch-ml,2026.8.12.1
polars,1.43.2
numpy,2.4.6
scikit-learn,1.9.0
