period,children_in_age_band,ever_n,ever_denominator,ever_pct_unweighted,ever_pct_weighted,ever_pct_low,ever_pct_high,ever_population,ever_population_low,ever_population_high,current_n,current_denominator,current_pct_unweighted,current_pct_weighted,current_pct_low,current_pct_high,current_population,current_population_low,current_population_high
2016,43283,1229,43032,2.856014129020264,2.7231786053055793,2.4158069833707336,3.068428492569735,1668519.7323640848,1468189.280682658,1868850.1840455115,1131,43021,2.6289486529834267,2.4421813369046195,2.1760589700754953,2.7399377246532355,1494876.02141071,1322462.4928805744,1667289.5499408455
2017,18657,594,18582,3.1966419115272844,3.2699178430292832,2.6767709615256217,3.9891130844156026,2007618.081729909,1600636.188384811,2414599.975075007,548,18578,2.9497254817526106,3.143496127726592,2.5540981422869784,3.8635142862293006,1929619.2093767787,1523929.8672156944,2335308.551537863
2018,26572,821,26479,3.100570263227463,2.8821908072470017,2.4975485676300933,3.3240514561515937,1773320.960370959,1518477.1053611578,2028164.8153807602,773,26472,2.920066485343004,2.719353624698903,2.3420780616068564,3.155439261703441,1672576.8775350729,1421878.3407920443,1923275.4142781014
2019,25964,845,25853,3.2684794801377017,3.089378143788234,2.727069741739448,3.498090490309232,1893716.3804839102,1658231.8623986775,2129200.898569143,795,25848,3.075673166202414,2.9145726643511423,2.560939719136858,3.3153762649642844,1786443.231335647,1555992.8549403967,2016893.6077308971
2020,37400,1245,37255,3.341833310964971,2.9444646408031825,2.6031488918617254,3.329002895448615,1798199.170121699,1575999.522482537,2020398.8177608612,1171,37244,3.1441305982171626,2.690579027238588,2.4026079128663014,3.012000502229122,1642538.586369144,1457005.0371174768,1828072.1356208113
2021,42175,1486,41950,3.542312276519666,3.37847264015781,3.0143413445522493,3.7848742649833644,2062088.2464174042,1825277.3946243867,2298899.0982104214,1397,41938,3.331107825838142,3.050901284624666,2.715276549669186,3.426550094281041,1861916.89483004,1643809.793364643,2080023.996295437
2022,45483,1846,45249,4.0796481690203095,3.8022479891622365,3.4718106087697183,4.162779203370374,2360911.969027651,2144983.805701794,2576840.132353508,1730,45232,3.8247258577997876,3.6029656146514175,3.278266665171904,3.958508462031611,2236771.677699695,2024240.6183828975,2449302.7370164925
2023,45693,2036,45451,4.479549404853579,4.3805824218373095,4.008246603684524,4.785781039201247,2678124.812716239,2437997.351823332,2918252.2736091465,1933,45429,4.254991305113474,4.10532026818729,3.7484513872499328,4.4945780951411685,2507615.0337350382,2277788.0609037727,2737442.006566304
2024,45019,2305,44800,5.145089285714286,4.8137512791631965,4.40708680501151,5.255877571801351,2957221.611415456,2693077.4794254834,3221365.7434054287,2187,44783,4.883549561217427,4.583948867069258,4.183170723843396,5.0211123166087415,2815602.535562676,2554829.045007516,3076376.0261178357
All years,330246,12407,328651,3.7751292404404673,3.4765707935853345,3.3395235192386,3.6190316386322974,2133302.329405257,2046639.816657659,2219964.8421528554,11665,328545,3.5505029752393127,3.2511013605699572,3.1194612936633654,3.388102312834175,1994217.7853172,1911039.5924782748,2077395.9781561252
