test_subset,train_source,fold,downsampled,is_equal_size,n_train,n_test,n_train_positive,n_test_positive,test_prevalence,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,percent_error_min,brier_min,calibration_slope_min,calibration_intercept_min,n_nonzero_min,auc_1se,acc_1se,percent_error_1se,brier_1se,calibration_slope_1se,calibration_intercept_1se,n_nonzero_1se
2019,same,1,false,true,16381,1821,369,41,0.022515101592531575,0.04406236427773573,0.014773776525985112,39,32,0.9471224993148808,0.9763866007688083,2.3613399231191656,0.018798952453801986,0.9718102811244196,0.06884838319722343,87,0.938517402027953,0.9763866007688083,2.3613399231191656,0.018644807196484096,1.078799299987729,0.29419929542276707,32
2019,other,1,false,false,25027,1821,817,41,0.022515101592531575,0.03224590545296395,0.017269832906594344,37,33,0.9475061660728967,0.9752883031301482,2.471169686985175,0.01857186361594498,1.05892635576665,-0.25903852833275454,112,0.9465607015620718,0.9752883031301482,2.471169686985175,0.018683959327445373,1.0955169115680623,-0.17878115583656679,67
2019,other,1,true,true,16380,1821,534,41,0.022515101592531575,0.0376939097538836,0.012638482029342984,38,31,0.9466566182515757,0.9752883031301482,2.471169686985175,0.018653766503494373,1.0724630124279522,-0.1855442757116753,99,0.9411962181419566,0.9763866007688083,2.3613399231191656,0.018900799270202107,1.1749845469308757,0.05492552728160721,32
2019,all,1,false,false,41408,1821,1186,41,0.022515101592531575,0.03224590545296395,0.009249147277217335,37,29,0.9492052617155385,0.9769357495881383,2.3064250411861664,0.01824692835704896,1.0372466944377388,0.1397453180251899,143,0.9456289394354618,0.9763866007688083,2.3613399231191656,0.018576727394175603,1.0956531038220267,0.1567633625921249,50
2019,all,1,true,true,16379,1821,468,41,0.022515101592531575,0.06020894493336132,0.02359833466782194,41,35,0.9440668676349684,0.9747391543108183,2.5260845689181743,0.018677713219052997,0.9673900906475125,-0.08051826001737751,147,0.9487393806522335,0.9769357495881383,2.3064250411861664,0.01853991477127517,1.0655418131728538,0.04954593660222342,60
2019,same,2,false,true,16381,1821,369,41,0.022515101592531575,0.06020894493336132,0.014773776525985112,41,32,0.9390380926281172,0.9796814936847886,2.031850631521137,0.017106049708696395,0.9774174663712258,0.02862161576176709,138,0.9275417922718554,0.9791323448654585,2.0867655134541474,0.017835632604265236,1.1030637705123094,0.2858718007256579,34
2019,other,2,false,false,25027,1821,817,41,0.022515101592531575,0.03224590545296395,0.02018760254679039,37,34,0.9368868183063853,0.9785831960461285,2.1416803953871466,0.0170152544782419,1.0933084904269408,-0.26990710829036296,106,0.9362839134009318,0.9785831960461285,2.1416803953871466,0.017312433126896003,1.132197711270508,-0.1726073420802378,70
2019,other,2,true,true,16380,1821,534,41,0.022515101592531575,0.0376939097538836,0.014773776525985112,38,32,0.9362154014798575,0.9785831960461285,2.1416803953871466,0.01721154818190389,1.100645898090315,-0.24913370618624472,92,0.9291518224171005,0.9769357495881383,2.3064250411861664,0.01790752276378477,1.1648757503522253,-0.07342976246185762,35
2019,all,2,false,false,41408,1821,1186,41,0.022515101592531575,0.03224590545296395,0.009249147277217335,37,29,0.9459166895039737,0.9791323448654585,2.0867655134541474,0.016575402197044044,1.0719576834905025,0.1407550225096747,136,0.940668676349685,0.9785831960461285,2.1416803953871466,0.017459272501403274,1.1512565978722915,0.24084562862724726,46
2019,all,2,true,true,16379,1821,468,41,0.022515101592531575,0.05150678076168122,0.014773776525985112,40,32,0.9342833653055631,0.9796814936847886,2.031850631521137,0.017626861832706425,0.9838216089464227,-0.09323631677757714,124,0.92382844614963,0.9769357495881383,2.3064250411861664,0.018543451364390874,1.0756870954976707,-0.026221188344966853,38
