test_subset,train_source,fold,downsampled,is_equal_size,n_train,n_test,n_train_positive,n_test_positive,test_prevalence,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,percent_error_min,brier_min,calibration_slope_min,calibration_intercept_min,n_nonzero_min,auc_1se,acc_1se,percent_error_1se,brier_1se,calibration_slope_1se,calibration_intercept_1se,n_nonzero_1se
1,same,1,false,true,934,104,602,67,0.6442307692307693,0.06020894493336132,0.03224590545296395,41,37,0.7761194029850745,0.7403846153846154,25.96153846153846,0.1836477386377178,0.829671763074844,0.29460055195065465,65,0.7821702299314239,0.7403846153846154,25.96153846153846,0.18058484053657578,1.1301336846099266,0.1447202439875309,21
1,other,1,false,false,4543,104,2817,67,0.6442307692307693,0.0376939097538836,0.02359833466782194,38,35,0.7769261799112546,0.7115384615384616,28.846153846153843,0.18581434332183466,0.8002118951290601,0.30596839452584856,113,0.7789431222267043,0.7019230769230769,29.807692307692314,0.1843801007973895,0.8537475127699131,0.29566955262890576,79
1,other,1,true,true,930,104,578,67,0.6442307692307693,0.05150678076168122,0.0376939097538836,40,38,0.7688584106494554,0.7211538461538461,27.884615384615387,0.18580641027915232,1.0290399370043624,0.24561047723895202,42,0.7757160145219846,0.7307692307692307,26.923076923076927,0.18341009653867937,1.2506692199411822,0.17546366133254968,24
1,all,1,false,false,5477,104,3419,67,0.6442307692307693,0.0376939097538836,0.017269832906594344,38,33,0.7829770068576037,0.6923076923076923,30.76923076923077,0.18375349209230823,0.8096060037003406,0.29935791838379094,118,0.7777329568374345,0.7115384615384616,28.846153846153843,0.1848758940548698,0.8579648690543287,0.292618694663738,68
1,all,1,true,true,930,104,581,67,0.6442307692307693,0.06020894493336132,0.04406236427773573,41,39,0.7753126260588946,0.7403846153846154,25.96153846153846,0.1846410430279499,0.8616165802383784,0.2694219937881006,56,0.7769261799112546,0.7403846153846154,25.96153846153846,0.18278566243032643,0.9823013378331859,0.24084386903443977,41
1,same,2,false,true,934,104,602,67,0.6442307692307693,0.05150678076168122,0.02758531617629184,40,36,0.7962888261395724,0.7403846153846154,25.96153846153846,0.17886049812270338,1.3094227221052295,-0.07931961644107707,49,0.7979023799919321,0.7115384615384616,28.846153846153843,0.18217520854651978,1.8741873118797705,-0.40467370005796505,16
1,other,2,false,false,4543,104,2817,67,0.6442307692307693,0.0376939097538836,0.02359833466782194,38,35,0.8059701492537313,0.7019230769230769,29.807692307692314,0.17299659168845022,1.15524310829163,-0.08192466005507064,113,0.7974989915288423,0.7019230769230769,29.807692307692314,0.1753365500125525,1.2450193795136835,-0.11897825234912199,78
1,other,2,true,true,930,104,578,67,0.6442307692307693,0.07038135554931554,0.04406236427773573,42,39,0.7946752722872126,0.7596153846153846,24.03846153846154,0.17339087655808802,1.1870146612542076,-0.17603656433394843,77,0.7858007260992336,0.7403846153846154,25.96153846153846,0.17939040945083876,1.423615620772632,-0.2757211818796315,44
1,all,2,false,false,5477,104,3419,67,0.6442307692307693,0.0376939097538836,0.02018760254679039,38,34,0.7995159338442921,0.7211538461538461,27.884615384615387,0.17278966051570052,1.1293659126646334,-0.034606482923737664,124,0.7987091569181122,0.7019230769230769,29.807692307692314,0.1747196952544247,1.2686440789568507,-0.11540036438195593,75
1,all,2,true,true,930,104,581,67,0.6442307692307693,0.07038135554931554,0.04406236427773573,42,39,0.7821702299314239,0.7307692307692307,26.923076923076927,0.17865453061270328,1.051296120979118,-0.02789695773070991,72,0.7825736183945139,0.7403846153846154,25.96153846153846,0.1792864791733186,1.2705347656643884,-0.12286813143775056,36
1,same,3,false,true,934,104,602,67,0.6442307692307693,0.06020894493336132,0.03224590545296395,41,37,0.8442920532472772,0.7884615384615384,21.153846153846157,0.15375124102124602,1.256275685951066,-0.02303473103161076,56,0.8265429608713191,0.7980769230769231,20.192307692307686,0.16238230827419814,1.522296485421357,-0.20308693313490078,17
1,other,3,false,false,4544,104,2818,67,0.6442307692307693,0.0376939097538836,0.02359833466782194,38,35,0.8410649455425574,0.7884615384615384,21.153846153846157,0.1527923749890331,1.1541873606764832,0.17087271763665973,107,0.8442920532472772,0.7884615384615384,21.153846153846157,0.1524209637886579,1.2597112291387709,0.12803177918667827,77
1,other,3,true,true,930,104,578,67,0.6442307692307693,0.05150678076168122,0.03224590545296395,40,37,0.8394513916901977,0.8173076923076923,18.26923076923077,0.1550951133654742,1.3886970945060193,-0.004525448912534196,48,0.8430818878580072,0.8076923076923077,19.23076923076923,0.16103573276815417,1.7437979984768588,-0.14574587127085822,19
1,all,3,false,false,5478,104,3420,67,0.6442307692307693,0.0376939097538836,0.02018760254679039,38,34,0.8467123840258168,0.7788461538461539,22.115384615384613,0.14930908517845262,1.1814046631426258,0.13997282185988985,126,0.8475191609519968,0.7980769230769231,20.192307692307686,0.15113079150920652,1.274867331212164,0.09779921720337145,82
1,all,3,true,true,931,104,582,67,0.6442307692307693,0.06020894493336132,0.0376939097538836,41,38,0.8576038725292456,0.7692307692307693,23.076923076923073,0.1493330303625542,1.3452450216988276,0.11302686605203842,61,0.8426784993949173,0.7788461538461539,22.115384615384613,0.15908234505615904,1.4901858514253952,-0.02155622029147166,32
1,same,4,false,true,934,104,602,67,0.6442307692307693,0.06020894493336132,0.03224590545296395,41,37,0.8108108108108107,0.7403846153846154,25.96153846153846,0.16864423347984392,1.1941020634146076,-0.16310978756830427,56,0.7886244453408632,0.7115384615384616,28.846153846153843,0.18067983098865342,1.455343845459683,-0.3603478014621436,18
1,other,4,false,false,4545,104,2819,67,0.6442307692307693,0.0376939097538836,0.02758531617629184,38,36,0.7995159338442921,0.7788461538461539,22.115384615384613,0.16399467421786998,1.170277997700982,-0.0888159687059947,109,0.7991125453812021,0.7788461538461539,22.115384615384613,0.16550081445123863,1.2178812567367672,-0.10110770979286818,84
