test_subset,train_source,fold,downsampled,is_equal_size,n_train,n_test,n_train_positive,n_test_positive,test_prevalence,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,percent_error_min,brier_min,calibration_slope_min,calibration_intercept_min,n_nonzero_min,auc_1se,acc_1se,percent_error_1se,brier_1se,calibration_slope_1se,calibration_intercept_1se,n_nonzero_1se
1,same,1,false,true,933,105,221,25,0.23809523809523808,0.06020894493336132,0.0376939097538836,41,38,0.7235,0.7619047619047619,23.809523809523814,0.16252232691723453,1.0414395649871062,0.09010636848669915,49,0.75,0.7428571428571429,25.71428571428571,0.16118727515138606,1.482274094248358,0.5898157528741277,31
1,other,1,false,false,4543,105,941,25,0.23809523809523808,0.03224590545296395,0.02359833466782194,37,35,0.7455,0.7523809523809524,24.761904761904763,0.15883356507245358,1.186583996347717,0.478693638691786,75,0.7505,0.7523809523809524,24.761904761904763,0.1595629552106301,1.2658717592684954,0.5761901087038289,56
1,other,1,true,true,930,105,192,25,0.23809523809523808,0.05150678076168122,0.03224590545296395,40,37,0.754,0.780952380952381,21.904761904761905,0.1568116800553748,1.6148895673598926,1.14437054378661,34,0.7619999999999999,0.7714285714285715,22.857142857142854,0.1622435091425118,2.206357769221939,1.9242381153573682,14
1,all,1,false,false,5476,105,1162,25,0.23809523809523808,0.02758531617629184,0.017269832906594344,36,33,0.7380000000000001,0.7428571428571429,25.71428571428571,0.16099922295117466,1.0533011820701248,0.2566846806584499,78,0.747,0.7428571428571429,25.71428571428571,0.16057773459195163,1.2276165830308263,0.47228233011094956,43
1,all,1,true,true,929,105,196,25,0.23809523809523808,0.08227241341700466,0.0376939097538836,43,38,0.6545,0.7904761904761904,20.952380952380956,0.16779132174541694,0.73765281130367,-0.0066809759224631116,81,0.7322500000000001,0.7619047619047619,23.809523809523814,0.16522152774844562,1.7471604712556428,1.2386222263332438,24
1,same,2,false,true,933,105,221,25,0.23809523809523808,0.06020894493336132,0.0376939097538836,41,38,0.737,0.7904761904761904,20.952380952380956,0.15308998395528775,1.2525834907932325,0.19631416905285878,44,0.7365,0.780952380952381,21.904761904761905,0.15540383520643614,1.6789251752382668,0.67403629108774,22
1,other,2,false,false,4543,105,941,25,0.23809523809523808,0.03224590545296395,0.02018760254679039,37,34,0.8039999999999999,0.7714285714285715,22.857142857142854,0.14480198212985793,1.8685745504402265,1.3883766126474284,80,0.8135,0.780952380952381,21.904761904761905,0.14652746365841124,2.2333592011369214,1.8547789634338416,45
1,other,2,true,true,930,105,192,25,0.23809523809523808,0.05150678076168122,0.04406236427773573,40,39,0.6950000000000001,0.7714285714285715,22.857142857142854,0.16372475827939817,1.8375335250686637,1.4316864826796212,34,0.695,0.7619047619047619,23.809523809523814,0.16536321121803485,2.0962694317319137,1.7581567226237347,27
1,all,2,false,false,5476,105,1162,25,0.23809523809523808,0.02758531617629184,0.02018760254679039,36,34,0.8035000000000001,0.780952380952381,21.904761904761905,0.14453186171601484,1.8081008957875606,1.2300929836632055,77,0.804,0.780952380952381,21.904761904761905,0.14493753601723142,2.0016341309268646,1.4579594429934088,49
1,all,2,true,true,929,105,196,25,0.23809523809523808,0.08227241341700466,0.02758531617629184,43,36,0.771,0.7904761904761904,20.952380952380956,0.1463576181476212,1.2301529692036917,0.4173373601523612,71,0.79225,0.7619047619047619,23.809523809523814,0.1572705542345486,3.6430669412734145,3.5595800552575136,14
1,same,3,false,true,934,104,221,25,0.2403846153846154,0.06020894493336132,0.0376939097538836,41,38,0.7468354430379747,0.7596153846153846,24.03846153846154,0.15903311179747512,1.237441516626142,0.296078185415952,43,0.7658227848101267,0.7596153846153846,24.03846153846154,0.15995825796901225,1.6646607552369537,0.7600811952710916,29
1,other,3,false,false,4544,104,941,25,0.2403846153846154,0.03224590545296395,0.02359833466782194,37,35,0.7863291139240507,0.75,25.0,0.15935037607356656,1.4048920894017527,0.7837429161857254,77,0.7858227848101266,0.7596153846153846,24.03846153846154,0.15855016373604383,1.6015284733975947,1.0208487157729063,52
1,other,3,true,true,931,104,192,25,0.2403846153846154,0.06020894493336132,0.04406236427773573,41,39,0.7635443037974684,0.7596153846153846,24.03846153846154,0.15970196583272542,1.4223303155828733,0.7549859922983858,48,0.769620253164557,0.7692307692307693,23.076923076923073,0.16144338136789818,1.9190476095551823,1.371408882773892,31
1,all,3,false,false,5478,104,1162,25,0.2403846153846154,0.03224590545296395,0.02018760254679039,37,34,0.7837974683544303,0.7596153846153846,24.03846153846154,0.1587627698082702,1.3007979436570858,0.5864895442062636,88,0.7873417721518987,0.75,25.0,0.1578631588468003,1.5222221048882512,0.8460570823664334,55
1,all,3,true,true,930,104,196,25,0.2403846153846154,0.07038135554931554,0.06020894493336132,42,41,0.740253164556962,0.7596153846153846,24.03846153846154,0.16191763184726982,0.9966621456782156,0.21683414730460202,65,0.7488607594936709,0.7596153846153846,24.03846153846154,0.1621349045751197,1.1232614774935117,0.3651104686844173,56
1,same,4,false,true,934,104,221,25,0.2403846153846154,0.06020894493336132,0.0376939097538836,41,38,0.6941772151898734,0.7980769230769231,20.192307692307686,0.1620951919409876,0.8972167597165533,-0.24155028509632281,46,0.6782278481012658,0.8173076923076923,18.26923076923077,0.1628333890023647,1.1747869592906384,0.03389686899802495,27
