test_subset,train_source,fold,downsampled,is_equal_size,n_train,n_test,n_train_positive,n_test_positive,test_prevalence,C_min,C_1se,idx_min,idx_1se,auc_min,acc_min,percent_error_min,brier_min,calibration_slope_min,calibration_intercept_min,n_nonzero_min,auc_1se,acc_1se,percent_error_1se,brier_1se,calibration_slope_1se,calibration_intercept_1se,n_nonzero_1se
1,same,1,false,true,933,105,66,8,0.0761904761904762,0.08227241341700466,0.06020894493336132,43,41,0.8337628865979382,0.9238095238095239,7.619047619047614,0.06050359390510522,1.2031781501432364,0.4572544369216663,34,0.8195876288659794,0.9238095238095239,7.619047619047614,0.06062974313198365,1.4941416961952725,1.15140044581318,24
1,other,1,false,false,4542,105,286,8,0.0761904761904762,0.05150678076168122,0.0376939097538836,40,38,0.8646907216494846,0.9333333333333333,6.666666666666665,0.060819481712277704,1.3712324405953533,1.075142054297949,65,0.854381443298969,0.9238095238095239,7.619047619047614,0.06240702007352548,1.4221667081944147,1.235682206091336,52
1,other,1,true,true,930,105,57,8,0.0761904761904762,0.09617248711152965,0.05150678076168122,44,40,0.8582474226804123,0.9238095238095239,7.619047619047614,0.0634848825894646,0.8740795204306587,-0.2623432033922123,41,0.8440721649484536,0.9238095238095239,7.619047619047614,0.06327038818642398,1.7696771285115707,2.0238505126177206,18
1,all,1,false,false,5475,105,352,8,0.0761904761904762,0.04406236427773573,0.02758531617629184,39,36,0.8775773195876289,0.9333333333333333,6.666666666666665,0.06056181875655897,1.3423831244598865,0.9626086958950776,71,0.875,0.9238095238095239,7.619047619047614,0.06114191306124605,1.5987758137996295,1.6170865723428438,43
1,all,1,true,true,929,105,58,8,0.0761904761904762,0.08227241341700466,0.04406236427773573,43,39,0.7963917525773195,0.9333333333333333,6.666666666666665,0.061324716878085654,1.2137992469602468,0.7321396387186585,28,0.8505154639175257,0.9238095238095239,7.619047619047614,0.0645497031508322,2.6573109265476758,4.4841316547305095,10
1,same,2,false,true,933,105,66,8,0.0761904761904762,0.09617248711152965,0.08227241341700466,44,43,0.9007731958762887,0.9238095238095239,7.619047619047614,0.06015818130052987,1.4049998312041359,0.9841601766441279,43,0.8943298969072164,0.9238095238095239,7.619047619047614,0.06014852013645304,1.507236948504654,1.1919743793800508,37
1,other,2,false,false,4544,105,287,8,0.0761904761904762,0.04406236427773573,0.02758531617629184,39,36,0.9201030927835052,0.9333333333333333,6.666666666666665,0.05315119989881669,1.8919167859910602,2.1036107409455718,57,0.9329896907216495,0.9238095238095239,7.619047619047614,0.05496035787430058,2.529658905881232,3.57031295781288,36
1,other,2,true,true,930,105,57,8,0.0761904761904762,0.07038135554931554,0.0007609496685459876,42,13,0.9059278350515464,0.9238095238095239,7.619047619047614,0.06221369774231464,4.1238419683940535,7.592601606988337,19,0.5,0.9238095238095239,7.619047619047614,0.07038607971471543,0.8588821934898452,-0.3426956431188481,0
1,all,2,false,false,5477,105,353,8,0.0761904761904762,0.04406236427773573,0.02758531617629184,39,36,0.9162371134020618,0.9333333333333333,6.666666666666665,0.05326620075461754,1.8014198575854679,1.815610033843701,68,0.9226804123711341,0.9333333333333333,6.666666666666665,0.054395555317156376,2.163771867359751,2.6721833487322106,41
1,all,2,true,true,929,105,58,8,0.0761904761904762,0.09617248711152965,0.06020894493336132,44,41,0.8827319587628866,0.9333333333333333,6.666666666666665,0.05881943451659694,1.6385445561652123,1.8908477271906616,42,0.8737113402061856,0.9238095238095239,7.619047619047614,0.06206296682505999,1.7420639440959853,2.1203718854879727,18
